cidr,provider,risk,tags,source
18.139.118.128/27,"8x8, Inc.",trusted,official|voice|stir-complete,provider
121.244.203.192/27,"Zoom Voice Communications, Inc.",trusted,official|voice|stir-complete,provider
135.84.127.0/24,Piratel llc,neutral,voice|gateway|intermediate|stir-complete,provider
162.211.102.0/24,9171-5573 Quebec Inc,suspicious,voice|foreign|stir-complete,provider
23.167.192.0/24,Versatel LLC,neutral,voice|gateway|intermediate|stir-complete,provider
4.150.191.0/24,Unregistered cloud voice,block,voip|datacenter,fraud
5.62.61.0/24,Unregistered cloud voice,block,voip|datacenter,fraud
